PCT_STD,POPULATION
ALA0001,764
ALA0002,856
ALA0003,1756
ALA0004,1466
ALA0005,2245
ALA0006,1483
ALA0007,1667
ALA0008,1143
ALA0009,392
ALA0010,651
ALA0011,1262
ALA0012,1030
ALA0013,1553
ALA0014,629
ALA0015,306
ALA0016,683
ALA0017,753
ALA0018,974
ALA0019,1032
ALA0020,1332
ALA0021,743
ALA0022,753
ALA0023,2201
ALA0024,403
ALA0025,1677
ALA0026,297
ALA0027,1442
ALA0028,1436
ALA0029,695
ALA0030,1190
ALA0031,802
ALA0032,1806
ALA0033,1065
ALA0034,574
ALA0035,422
ALA0036,1515
ALA0037,459
ALA0038,2000
ALA0039,2082
ALA0040,594
ALA0041,594
ALA0042,453
ALA0043,1637
ALA0044,713
ALA0045,1185
ALA0046,801
ALA0047,834
ALA0048,1256
ALA0049,398
ALA0050,238
ALA0051,981
ALA0052,1299
ALA0053,1428
ALA0054,1174
ALA0055,692
ALA0056,1146
ALA0057,815
ALA0058,1744
ALA0059,5122
ALA0060,783
ALA0061,825
ALA0062,1420
ALA0063,1374
BAK001A,912
BAK002A,1499
BAK003A,1305
BAK004A,22
BAK004B,303
BAK004C,177
BAK004D,330
BAK005A,1089
BAK006A,98
BAY0001,1358
BAY0002,546
BAY0003,245
BAY0004,1409
BAY0005,1233
BAY0006,1394
BAY0007,347
BAY0008,3269
BAY0009,4666
BAY0010,2950
BAY0011,5930
BAY0012,2801
BAY0013,1059
BAY0014,730
BAY0015,1123
BAY0016,716
BAY0017,2153
BAY0018,934
BAY0019,643
BAY0020,644
BAY0021,1264
BAY0022,806
BAY0023,1681
BAY0024,331
BAY0025,706
BAY0026,819
BAY0027,1620
BAY0028,1261
BAY0029,1481
BAY0030,283
BAY0031,2521
BAY0032,859
BAY0033,1309
BAY0034,526
BAY0035,939
BAY0036,707
BAY0037,2254
BAY0038,930
BAY0039,1735
BAY0040,787
BAY0041,1002
BAY0042,941
BAY0043,361
BAY0044,965
BRA0001,499
BRA0002,219
BRA0003,135
BRA0004,211
BRA0005,558
BRA0006,62
BRA0007,371
BRA0008,725
BRA0009,220
BRA0010,185
BRA0011,352
BRA0012,426
BRA0013,13
BRA0014,283
BRE0000,0
BRE0100,706
BRE0102,501
BRE0103,1286
BRE0104,1942
BRE0105,1789
BRE0106,1203
BRE0107,103
BRE0108,2565
BRE0109,1657
BRE0111,2151
BRE0112,741
BRE0113,1257
BRE0114,1480
BRE0115,1661
BRE0116,1385
BRE0118,2629
BRE0120,322
BRE0121,207
BRE0122,1050
BRE0123,1313
BRE0124,1434
BRE0125,1470
BRE0126,0
BRE0127,273
BRE0128,2
BRE0129,0
BRE0131,423
BRE0135,638
BRE0200,1163
BRE0201,979
BRE0202,1287
BRE0203,1280
BRE0204,2541
BRE0205,3812
BRE0206,1411
BRE0207,633
BRE0208,691
BRE0209,967
BRE0211,1446
BRE0212,908
BRE0213,343
BRE0214,648
BRE0215,412
BRE0216,3135
BRE0217,1476
BRE0218,387
BRE0219,1020
BRE0220,162
BRE0221,1461
BRE0222,1292
BRE0223,328
BRE0224,2376
BRE0225,1
BRE0226,2512
BRE0227,51
BRE0228,377
BRE0229,20
BRE0231,511
BRE0233,318
BRE0234,84
BRE0235,1515
BRE0236,29
BRE0240,195
BRE0300,1944
BRE0302,872
BRE0303,4729
BRE0304,3961
BRE0305,1152
BRE0306,938
BRE0307,569
BRE0308,2129
BRE0309,4467
BRE0310,1266
BRE0311,1799
BRE0312,1596
BRE0313,3185
BRE0314,1874
BRE0315,2571
BRE0316,1597
BRE0317,3701
BRE0318,2018
BRE0320,34
BRE0322,1996
BRE0323,137
BRE0324,389
BRE0325,29
BRE0326,26
BRE0327,33
BRE0400,1263
BRE0402,1272
BRE0403,615
BRE0404,1798
BRE0405,1874
BRE0406,1210
BRE0407,48
BRE0408,833
BRE0409,3286
BRE0410,176
BRE0411,150
BRE0412,416
BRE0414,2090
BRE0415,1309
BRE0416,874
BRE0417,1401
BRE0418,1080
BRE0419,772
BRE0420,495
BRE0421,552
BRE0422,1000
BRE0424,1042
BRE0425,92
BRE0426,273
BRE0427,811
BRE0428,1481
BRE0429,1058
BRE0430,31
BRE0431,126
BRE0432,10
BRE0435,22
BRE0437,187
BRE0441,1123
BRE0500,1728
BRE0501,124
BRE0502,1364
BRE0503,1163
BRE0504,343
BRE0505,1301
BRE0506,1403
BRE0507,2566
BRE0508,335
BRE0509,611
BRE0510,4284
BRE0511,398
BRE0512,760
BRE0513,375
BRE0515,917
BRE0516,3833
BRE0517,2515
BRE0518,1219
BRE0519,3197
BRE0520,2503
BRE0521,2383
BRE0522,76
BRE0523,281
BRE0525,409
BRE0527,1129
BRE0528,828
BRE0529,889
BRE0530,158
BRE0531,0
BRO0000,0
BRO0998,1
BROA001,3026
BROA002,572
BROA003,1280
BROA004,1044
BROA005,1972
BROA006,2733
BROA007,1068
BROA008,171
BROA009,2175
BROA010,577
BROA011,807
BROA012,593
BROA013,1980
BROA014,2571
BROA015,815
BROA016,1390
BROA017,545
BROA018,1065
BROA019,869
BROA020,1702
BROA021,923
BROA022,1115
BROA023,148
BROA024,39
BROB001,152
BROB002,869
BROB003,283
BROB004,902
BROB005,38
BROB006,29
BROC001,2171
BROC002,416
BROC003,822
BROC004,895
BROC005,617
BROC006,1447
BROC007,170
BROC008,226
BROC009,1181
BROC010,1082
BROC011,812
BROC013,817
BROC014,953
BROC015,1495
BROC016,1937
BROC017,348
BROC018,503
BROC019,72
BROC020,824
BROC021,1393
BROC022,433
BROC023,421
BROC024,353
BROC025,1094
BROC026,727
BROC027,364
BROC028,1210
BROC030,1591
BROC031,1268
BROC032,0
BROC033,457
BROC034,1265
BROC035,659
BROC036,89
BROC037,602
BROD001,828
BROD002,1393
BROD003,728
BROD004,62
BROD005,1667
BROD006,733
BROD007,507
BROD008,384
BROD009,1452
BROD010,169
BROD011,86
BROD012,18
BROD013,419
BROD014,233
BROD015,1096
BROD016,1842
BROE001,132
BROE002,1339
BROE003,1252
BROE004,1128
BROE005,665
BROE006,1730
BROE007,2207
BROE008,1713
BROE009,580
BROE010,1360
BROE011,1997
BROE012,470
BROE013,1084
BROE014,1022
BROE015,550
BROE016,859
BROE017,1090
BROE018,101
BROE019,434
BROE020,1974
BROE021,611
BROE022,898
BROE023,595
BROE024,1123
BROE025,587
BROE026,365
BROE027,1758
BROE028,165
BROE029,523
BROE030,107
BROE031,894
BROE032,614
BROE033,656
BROE034,125
BROF001,804
BROF002,114
BROF003,571
BROF004,2970
BROF005,1804
BROF006,1296
BROF007,971
BROF008,601
BROF009,1861
BROF010,1809
BROF011,938
BROF012,1907
BROF013,309
BROF014,860
BROG001,581
BROG002,1031
BROG003,782
BROG004,1487
BROG005,280
BROG006,2123
BROG007,169
BROG008,1491
BROG009,28
BROG010,746
BROG011,1867
BROG012,940
BROG013,303
BROG014,860
BROG015,246
BROG016,947
BROH001,633
BROH002,359
BROH003,1760
BROH004,358
BROH005,781
BROH006,429
BROH007,610
BROH008,768
BROH009,377
BROH010,192
BROH011,1683
BROJ001,422
BROJ002,867
BROJ003,528
BROJ004,1021
BROJ005,872
BROJ006,84
BROJ007,151
BROJ008,194
BROJ009,542
BROJ010,572
BROJ011,1187
BROJ012,1487
BROJ013,181
BROJ014,1127
BROJ015,587
BROJ017,250
BROJ018,256
BROJ019,1514
BROJ020,574
BROJ021,775
BROJ022,149
BROJ023,421
BROJ024,97
BROK001,606
BROK002,436
BROK003,995
BROK004,899
BROK005,479
BROK006,323
BROK007,952
BROK008,1066
BROK009,1945
BROK010,14
BROK011,630
BROL001,2020
BROL002,281
BROL003,194
BROL004,4131
BROL005,431
BROL006,1745
BROL007,160
BROL008,581
BROL009,229
BROL010,2013
BROL011,143
BROL012,190
BROL013,811
BROL014,170
BROL015,59
BROL016,425
BROL017,136
BROL018,384
BROL019,34
BROM001,434
BROM002,970
BROM003,1401
BROM004,475
BROM005,130
BROM006,316
BROM007,0
BROM008,213
BROM009,830
BROM010,14
BROM011,146
BROM012,736
BROM013,232
BROM014,738
BROM015,532
BROM017,72
BROM018,335
BROM019,158
BROM020,392
BROM021,881
BROM022,1273
BROM023,1049
BROM024,661
BROM025,1425
BROM026,684
BROM027,436
BROM028,1104
BROM029,420
BROM030,2142
BROM031,113
BROM032,371
BRON001,650
BRON002,618
BRON003,490
BRON004,906
BRON005,118
BRON006,691
BRON007,475
BRON008,977
BRON009,388
BRON010,502
BRON011,321
BRON012,668
BRON013,465
BRON014,2107
BRON015,1748
BRON016,759
BRON017,660
BRON018,1354
BRON019,369
BRON020,664
BRON021,504
BRON022,1884
BRON023,1510
BRON024,417
BRON025,1496
BRON026,1597
BRON027,149
BRON028,692
BRON029,488
BROP001,609
BROP002,540
BROP003,917
BROP004,386
BROP005,158
BROP006,627
BROQ010,527
BROQ020,124
BROQ030,1634
BROQ031,643
BROQ040,0
BROQ041,1386
BROQ042,319
BROQ043,0
BROQ044,4558
BROQ045,0
BROQ050,334
BROQ051,1490
BROQ060,1607
BROQ061,573
BROQ062,1117
BROQ063,628
BROQ064,450
BROQ065,2261
BROQ066,198
BROQ067,318
BROQ068,103
BROQ069,746
BROQ070,1124
BROQ071,431
BROQ072,551
BROQ080,1488
BROQ081,613
BROQ082,498
BROQ083,885
BROQ090,194
BROQ091,1224
BROR001,1168
BROR002,1181
BROR003,925
BROR004,461
BROR005,0
BROR006,339
BROR007,828
BROR008,736
BROR009,1125
BROR010,582
BROR011,399
BROR012,305
BROR013,1780
BROR014,1260
BROR015,2096
BROR016,748
BROR017,174
BROR018,1784
BROR019,1025
BROR020,855
BROR021,758
BROR022,339
BROR023,933
BROR024,350
BROR025,572
BROR026,853
BROR027,1021
BROR028,498
BROR029,440
BROR030,1460
BROR031,796
BROR032,4337
BROR033,1007
BROR034,2199
BROR035,957
BROR036,892
BROR037,192
BROR038,273
BROR039,661
BROR040,2415
BROR041,749
BROR042,254
BROR043,954
BROR044,248
BROR045,1172
BROR046,2362
BROR047,1424
BROR048,776
BROR049,597
BROR050,695
BROR051,513
BROR052,727
BROR053,806
BROR054,839
BROR055,654
BROR056,434
BROR057,158
BROR058,187
BROR059,785
BROR060,1336
BROR061,137
BROR062,204
BROR063,1996
BROR064,364
BROR065,51
BROR066,176
BROR067,320
BROR069,825
BROS001,1043
BROS002,1091
BROS003,1670
BROS004,1865
BROS005,952
BROS006,420
BROS007,1243
BROS008,762
BROS009,857
BROT001,1707
BROT002,430
BROT003,3042
BROT004,307
BROT005,141
BROT006,150
BROT007,738
BROT008,386
BROT009,1730
BROT010,858
BROT011,467
BROT012,392
BROT013,448
BROT014,830
BROT015,316
BROT016,47
BROT017,164
BROT018,2374
BROT019,928
BROT020,593
BROT021,270
BROT022,61
BROT023,839
BROT024,304
BROT025,1204
BROT026,352
BROT027,61
BROT028,2112
BROT029,1565
BROT030,38
BROU001,189
BROU002,443
BROU003,1011
BROU004,1092
BROU005,340
BROU006,1296
BROU007,569
BROU008,163
BROU009,368
BROU010,470
BROU011,1098
BROV001,225
BROV002,1512
BROV003,803
BROV004,1335
BROV005,591
BROV006,753
BROV007,1360
BROV008,211
BROV009,2421
BROV010,230
BROV011,710
BROV012,775
BROV013,1073
BROV014,343
BROV015,505
BROV016,958
BROV018,1513
BROV019,614
BROV020,692
BROV021,714
BROV022,493
BROV023,166
BROV024,603
BROV025,201
BROV026,156
BROV027,127
BROV028,225
BROV030,497
BROV031,497
BROV032,420
BROV033,670
BROV034,80
BROV036,7
BROV037,128
BROV038,891
BROV039,729
BROV040,452
BROV041,914
BROV042,1331
BROV043,506
BROV044,439
BROV045,532
BROV046,92
BROV047,525
BROV048,494
BROV049,344
BROV050,504
BROV051,571
BROV052,574
BROV053,410
BROV054,251
BROV055,684
BROV056,687
BROV057,2432
BROV058,261
BROW001,1543
BROW002,841
BROW003,490
BROW004,548
BROW005,275
BROW006,377
BROW007,685
BROW008,2515
BROW009,396
BROW010,355
BROW011,817
BROW012,863
BROW013,1408
BROW014,966
BROW015,210
BROW016,1530
BROW017,824
BROW018,1016
BROW019,739
BROW020,1553
BROW021,2764
BROW022,570
BROW023,5724
BROW024,1002
BROW025,1048
BROX001,315
BROX002,361
BROX003,577
BROX004,369
BROX005,474
BROX006,1429
BROX007,1127
BROX008,397
BROX009,1287
BROX010,1323
BROX011,391
BROX012,58
BROX013,666
BROX014,1502
BROX015,540
BROX016,568
BROX017,838
BROX018,166
BROX019,196
BROX020,1786
BROX021,2137
BROX022,1270
BROX023,2315
BROX024,1820
BROX025,221
BROX026,292
BROX027,739
BROX028,548
BROX029,953
BROX030,258
BROX031,2431
BROX032,298
BROX033,860
BROX034,464
BROX035,783
BROX036,702
BROX037,163
BROX038,1483
BROX039,293
BROX040,1424
BROX041,501
BROX042,578
BROX043,938
BROX044,556
BROX045,450
BROX046,419
BROX047,922
BROX048,272
BROX049,1161
BROX050,508
BROY002,3793
BROY003,304
BROY004,448
BROY005,3036
BROY006,4134
BROY007,2200
BROY008,2252
BROZ001,876
BROZ002,1194
BROZ003,927
BROZ004,263
BROZ005,366
CAL0101,426
CAL0102,37
CAL0201,422
CAL0202,320
CAL0301,612
CAL0302,195
CAL0401,261
CAL0402,4
CAL0501,157
CAL0502,82
CAL0503,250
CHA0001,235
CHA0002,77
CHA0003,446
CHA0004,255
CHA0005,1102
CHA0006,1031
CHA0007,1064
CHA0008,534
CHA0009,453
CHA0010,307
CHA0011,791
CHA0012,844
CHA0013,895
CHA0014,1679
CHA0015,1460
CHA0016,864
CHA0017,1677
CHA0018,1109
CHA0019,570
CHA0020,879
CHA0021,659
CHA0022,1989
CHA0023,492
CHA0024,650
CHA0025,893
CHA0026,390
CHA0027,2006
CHA0028,533
CHA0029,1968
CHA0030,359
CHA0031,987
CHA0032,144
CHA0033,1563
CHA0034,20
CHA0035,533
CHA0036,1125
CHA0038,1283
CHA0039,1373
CHA0041,343
CHA0042,1403
CHA0043,1374
CHA0044,2272
CHA0045,1714
CHA0046,1699
CHA0047,3408
CHA0048,960
CHA0049,396
CHA0052,1951
CHA0053,1383
CHA0054,780
CHA0055,2087
CHA0056,1263
CHA0058,1561
CHA0060,185
CHA0061,678
CHA0063,1117
CHA0064,1393
CHA0066,1020
CHA0067,191
CHA0068,429
CHA0069,246
CHA0075,1363
CHA0076,470
CHA0077,2609
CHA0078,52
CHA0080,1413
CIT0100,928
CIT0101,1759
CIT0102,423
CIT0103,1340
CIT0104,732
CIT0105,1202
CIT0107,1371
CIT0108,1594
CIT0109,1316
CIT0110,2833
CIT0200,1773
CIT0201,1481
CIT0202,2300
CIT0203,1379
CIT0204,998
CIT0205,1133
CIT0206,1876
CIT0208,600
CIT0300,1065
CIT0301,2452
CIT0302,3312
CIT0305,2990
CIT0307,5079
CIT0400,796
CIT0402,2463
CIT0403,3167
CIT0404,1145
CIT0405,3767
CIT0406,1292
CIT0407,1693
CIT0408,1173
CLA0100,791
CLA0102,1338
CLA0106,1417
CLA0110,769
CLA0112,1783
CLA0113,2219
CLA0115,1246
CLA0116,1407
CLA0118,1235
CLA0122,1296
CLA0124,531
CLA0128,691
CLA0202,1675
CLA0204,1457
CLA0206,762
CLA0208,339
CLA0210,909
CLA0216,885
CLA0218,1254
CLA0302,1438
CLA0304,728
CLA0308,725
CLA0310,484
CLA0400,402
CLA0406,204
CLA0408,1168
CLA0410,2028
CLA0412,474
CLA0414,355
CLA0500,1361
CLA0503,311
CLA0504,636
CLA0506,340
CLA0508,1336
CLA0600,1353
CLA0601,292
CLA0602,801
CLA0604,688
CLA0606,2318
CLA0610,163
CLA0612,102
CLA0700,38
CLA0702,1029
CLA0704,211
CLA0706,1386
CLA0708,680
CLA0710,490
CLL0101,3524
CLL0102,4
CLL0103,2942
CLL0135,4498
CLL0139,1344
CLL0141,2757
CLL0142,1172
CLL0144,2659
CLL0155,6534
CLL0156,3403
CLL0159,1690
CLL0189,79
CLL0190,2199
CLL0193,2388
CLL0194,2531
CLL0202,4066
CLL0203,1966
CLL0204,1001
CLL0222,2132
CLL0223,5403
CLL0242,1179
CLL0251,4764
CLL0252,459
CLL0255,4134
CLL0257,2082
CLL0258,2306
CLL0303,1825
CLL0304,2070
CLL0310,2658
CLL0313,2350
CLL0315,1346
CLL0317,2563
CLL0322,806
CLL0323,4888
CLL0324,3412
CLL0332,4513
CLL0414,2141
CLL0418,4571
CLL0428,1234
CLL0430,1672
CLL0431,1137
CLL0434,4753
CLL0438,503
CLL0440,2971
CLL0462,696
CLL0464,3304
CLL0472,895
CLL0475,82
CLL0477,3188
CLL0479,986
CLL0502,486
CLL0550,611
CLL0551,1964
CLL0552,2826
CLL0554,2363
CLL0590,3334
CLL0591,2600
CLL0593,1528
CLL0594,7160
CLM0010,864
CLM0012,352
CLM0014,166
CLM0015,265
CLM0016,716
CLM0017,651
CLM0021,393
CLM0022,330
CLM0023,2496
CLM0031,720
CLM0032,43
CLM0033,1470
CLM0034,368
CLM0041,859
CLM0042,89
CLM0043,567
CLM0044,511
CLM0051,635
CLM0052,1068
CLM0053,428
CLM0054,388
DAD0001,67
DAD0002,715
DAD0003,414
DAD0004,977
DAD0005,1222
DAD0006,508
DAD0007,989
DAD0008,715
DAD0009,1468
DAD0011,1069
DAD0013,2579
DAD0014,2408
DAD0015,276
DAD0016,568
DAD0017,793
DAD0018,1741
DAD0019,70
DAD0020,69
DAD0023,2110
DAD0024,767
DAD0025,1292
DAD0028,785
DAD0029,1047
DAD0030,363
DAD0031,788
DAD0032,1393
DAD0033,1645
DAD0036,1481
DAD0038,90
DAD0040,462
DAD0041,2679
DAD0042,2357
DAD0043,755
DAD0047,106
DAD0048,1571
DAD0051,3107
DAD0052,4
DAD0062,0
DAD0067,222
DAD0069,213
DAD0099,0
DAD0101,891
DAD0102,2474
DAD0103,1163
DAD0104,465
DAD0105,279
DAD0106,67
DAD0107.1,21
DAD0109,378
DAD0110,382
DAD0111,1371
DAD0112,0
DAD0113,380
DAD0114,17
DAD0115,1267
DAD0116,337
DAD0117,567
DAD0118,83
DAD0119,710
DAD0120,24
DAD0121,765
DAD0123,2142
DAD0124,346
DAD0125,473
DAD0126,759
DAD0127,1152
DAD0128,212
DAD0129,1333
DAD0130,1263
DAD0131,1056
DAD0133,379
DAD0134,590
DAD0135,990
DAD0136,800
DAD0138,88
DAD0139,168
DAD0140,1275
DAD0141,733
DAD0142,1792
DAD0143,1197
DAD0144,64
DAD0145,2
DAD0146,49
DAD0148,1209
DAD0149,140
DAD0150,118
DAD0151,85
DAD0152,549
DAD0154,646
DAD0155,268
DAD0156,534
DAD0157,247
DAD0158,86
DAD0159,560
DAD0160,290
DAD0161,644
DAD0162,830
DAD0163,88
DAD0164,1133
DAD0165,3
DAD0167,288
DAD0168,1666
DAD0169,0
DAD0170,0
DAD0173,16
DAD0176,47
DAD0177,732
DAD0178,408
DAD0179,88
DAD0181,99
DAD0182,85
DAD0184,1249
DAD0191,328
DAD0196,2007
DAD0198,534
DAD0199,206
DAD0200,771
DAD0201,978
DAD0202,926
DAD0203,986
DAD0205,692
DAD0206,813
DAD0207,811
DAD0208,219
DAD0209,1116
DAD0210,495
DAD0212,1577
DAD0213,1907
DAD0214,777
DAD0215,724
DAD0216,763
DAD0217,792
DAD0218,759
DAD0219,500
DAD0221,539
DAD0222,822
DAD0223,800
DAD0224,411
DAD0225,855
DAD0226,713
DAD0227,736
DAD0228,462
DAD0229,878
DAD0230,657
DAD0231,442
DAD0232,725
DAD0233,1387
DAD0234,349
DAD0235,362
DAD0236,250
DAD0237,861
DAD0238,558
DAD0239,481
DAD0240,1204
DAD0241,1185
DAD0242,1142
DAD0243,0
DAD0244,1327
DAD0245,836
DAD0246,1370
DAD0247,404
DAD0248,1023
DAD0248.1,358
DAD0249,788
DAD0250,424
DAD0250.1,303
DAD0251,1146
DAD0251.1,44
DAD0253,210
DAD0254,540
DAD0256,859
DAD0257,967
DAD0258,273
DAD0258.1,55
DAD0259,726
DAD0260,255
DAD0261,35
DAD0261.1,789
DAD0262,322
DAD0264,582
DAD0266.1,0
DAD0267,314
DAD0269,704
DAD0270,785
DAD0272,470
DAD0274,608
DAD0275,104
DAD0276,436
DAD0278,32
DAD0280,454
DAD0281,25
DAD0281.1,157
DAD0282,1008
DAD0284,821
DAD0285,87
DAD0288,4
DAD0291,780
DAD0295,815
DAD0296,1493
DAD0297,724
DAD0298,850
DAD0299,1320
DAD0300,801
DAD0301,543
DAD0302,645
DAD0303,767
DAD0304,547
DAD0305,1041
DAD0306,305
DAD0307,352
DAD0308,22
DAD0309,755
DAD0310,587
DAD0311,1818
DAD0312,846
DAD0314,60
DAD0315,671
DAD0316,326
DAD0317,488
DAD0318,1229
DAD0319,243
DAD0320,758
DAD0321,1586
DAD0322,1285
DAD0323,563
DAD0324,301
DAD0325,457
DAD0326,394
DAD0327,89
DAD0328,1278
DAD0330,811
DAD0331,1452
DAD0332,403
DAD0333,1170
DAD0335,697
DAD0336,431
DAD0337,1626
DAD0338,779
DAD0339,2302
DAD0340,3487
DAD0341,12
DAD0342,733
DAD0343,1863
DAD0344,866
DAD0345,0
DAD0345.1,2
DAD0346,965
DAD0347,523
DAD0348,337
DAD0349,2406
DAD0350,427
DAD0351,1416
DAD0352,1012
DAD0353,606
DAD0354,411
DAD0355,1543
DAD0356,956
DAD0357,467
DAD0358,615
DAD0359,1134
DAD0360,1535
DAD0362,426
DAD0363,3094
DAD0364,1130
DAD0365,736
DAD0366,683
DAD0367,369
DAD0368,1287
DAD0369,26
DAD0370,4686
DAD0371,1109
DAD0372,99
DAD0373,0
DAD0374,4
DAD0375,159
DAD0376,955
DAD0377,1935
DAD0378,418
DAD0379,1250
DAD0381,913
DAD0382,801
DAD0383,0
DAD0384,626
DAD0385,900
DAD0386,1970
DAD0387,468
DAD0388,1666
DAD0389,887
DAD0390,1137
DAD0392,0
DAD0394,0
DAD0396,237
DAD0398,217
DAD0399,223
DAD0400,1
DAD0402,641
DAD0405,337
DAD0406,452
DAD0407,394
DAD0409,662
DAD0410,683
DAD0411,203
DAD0411.1,172
DAD0412,769
DAD0413,940
DAD0413.1,42
DAD0414,359
DAD0415,1337
DAD0416,677
DAD0417,488
DAD0418,213
DAD0419,335
DAD0420,807
DAD0421,608
DAD0422,234
DAD0423,749
DAD0424,715
DAD0424.1,124
DAD0425,269
DAD0426,1555
DAD0427,393
DAD0428,781
DAD0429,578
DAD0430,299
DAD0430.1,323
DAD0431,485
DAD0431.1,109
DAD0432,806
DAD0433,610
DAD0434,354
DAD0434.1,164
DAD0435,1010
DAD0435.1,284
DAD0436,335
DAD0436.1,158
DAD0437,225
DAD0437.1,58
DAD0438,313
DAD0438.1,213
DAD0439,328
DAD0439.1,175
DAD0440,232
DAD0440.1,282
DAD0441,230
DAD0441.1,163
DAD0442,572
DAD0443,275
DAD0444,516
DAD0445,0
DAD0446,10
DAD0447,1833
DAD0448,176
DAD0449,78
DAD0450,409
